,GEM plant ID,Plant name (English),Owner,Owner GEM entity ID,Parent (English),Parent GEM entity ID,Location address,Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,Plant age,Status,Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Retired year,latitude,longitude,geometry,GID_1,within_target_boundaries,which_boundary,GID_2,GID_3,GID_4,GID_5
1114,P100000120740,Lion Industries Megasteel plant,Megasteel Sdn Bhd,E100000130797,Lion Industries Corporation Bhd,E100000130722,"Wisma Lion, Lot 2319, Kawasan Perindustrian Olak Lempit, Mukim Tanjung 12, 42700 Banting, Selangor Darul Ehsan, Malaysia",Banting,Selangor,Malaysia,South-Eastern Asia,"2.8072653, 101.6055808",exact,96,mothballed,3200.0,,,,1930,,2016,,,2.8072653,101.6055808,POINT (101.6055808 2.8072653),,0,,,,,
1115,P100000120741,Perwaja Kemaman Steel plant,Perwaja Steel Sdn Bhd,E100000130928,Perwaja Holdings Bhd [100.0%],E100002007595 [100.0%],"Kawasan Perindustrian Telok Kalong, PO Box 61, 24007 Kemaman, Terengganu, Malaysia",Kemaman,Terengganu,Malaysia,South-Eastern Asia,"4.2643640, 103.4617280",exact,42,mothballed,1500.0,1200.0,1982,,1984,,2013-08-01 00:00:00,,,4.264364,103.461728,POINT (103.461728 4.264364),,0,,,,,
1116,P100000120742,Hebei Xin Wu an Steel Malaysia plant,Hebei Xinwuan Iron and Steel Group Co Ltd,E100000131112,Hebei Xinwuan Iron and Steel Group Co Ltd [100.0%],E100000131112 [100.0%],"Samalaju Industrial Park, Bintulu, Sarawak State, Malaysia",Samalaju,Sarawak,Malaysia,South-Eastern Asia,"3.5864530, 113.3598510",approximate,,announced,10000.0,5000.0,2016-08-27 00:00:00,2022-04-01 00:00:00,,,,,,3.586453,113.359851,POINT (113.359851 3.586453),MYS.7,1,MYS.7,,,,
1117,P100000120742,Hebei Xin Wu an Steel Malaysia plant,Hebei Xinwuan Iron and Steel Group Co Ltd,E100000131112,Hebei Xinwuan Iron and Steel Group Co Ltd [100.0%],E100000131112 [100.0%],"Samalaju Industrial Park, Bintulu, Sarawak State, Malaysia",Samalaju,Sarawak,Malaysia,South-Eastern Asia,"3.5864530, 113.3598510",approximate,,construction,,5000.0,2016-08-27 00:00:00,2022-04-01 00:00:00,,,,,,3.586453,113.359851,POINT (113.359851 3.586453),MYS.7,1,MYS.7,,,,
1118,P100000120743,Esteel Eden Flame Johor steel plant,Eden Flame Sdn Bhd,E100001012230,Green Esteel Pte Ltd [100.0%],E100000131050 [100.0%],"Kawasan Perindustrian Pasir Gudang, 81700 JOHOR BAHRU, Johor, Malaysia",Pasir Gudang,Johor,Malaysia,South-Eastern Asia,"1.4515120, 103.9173060",exact,33,operating,1050.0,,,,1993,,,,,1.451512,103.917306,POINT (103.917306 1.451512),,0,,,,,
1119,P100000120744,Esteel Antara Labuan iron plant,Antara Steel Mills Sdn Bhd,E100000130921,Green Esteel Pte Ltd [100.0%],E100000131050 [100.0%],"Ranca-ranca Industrial Estate, 87000 Labuan, Labuan Federal Territory, Malaysia",Labuan,Labuan Island,Malaysia,South-Eastern Asia,"5.2538390, 115.2427170",exact,42,operating,,900.0,,,1984,,,,,5.253839,115.242717,POINT (115.242717 5.253839),,0,,,,,
1120,P100000120745,Perfect Channel Gurun steel plant,Perfect Channel Sdn Bhd,E100000130773,Konsortia Etiqa Sdn Bhd [99.9%],E100002004711 [99.9%],"Lot 8068 Jalan Bedong Kawasan Perindustrian Gurun, 08100 Bedong, Kedah, Malaysia",Gurun,Kedah,Malaysia,South-Eastern Asia,"5.7788710, 100.4990700",exact,,announced,1000.0,,,,,,,,,5.778871,100.49907,POINT (100.49907 5.778871),,0,,,,,
1121,P100000120746,Malaysia Steel Works Klang steel plant,Malaysia Steel Works (KL) Bhd,E100000130724,Malaysia Steel Works (KL) Bhd [100.0%],E100000130724 [100.0%],"Lot 13039, Jalan Waja, Bukit Raja Industrial Estate, 41050 Klang, Selangor Darul Ehsan, Malaysia",Klang,Selangor,Malaysia,South-Eastern Asia,"3.0778350, 101.4644800",exact,28,operating,800.0,,,,1998,,,,,3.077835,101.46448,POINT (101.46448 3.077835),,0,,,,,
1122,P100000120746,Malaysia Steel Works Klang steel plant,Malaysia Steel Works (KL) Bhd,E100000130724,Malaysia Steel Works (KL) Bhd [100.0%],E100000130724 [100.0%],"Lot 13039, Jalan Waja, Bukit Raja Industrial Estate, 41050 Klang, Selangor Darul Ehsan, Malaysia",Klang,Selangor,Malaysia,South-Eastern Asia,"3.0778350, 101.4644800",exact,28,retired,750.0,,,,1998,,,,,3.077835,101.46448,POINT (101.46448 3.077835),,0,,,,,
1123,P100000120747,Eastern Steel Kemaman plant,Eastern Steel Sdn Bhd,E100000130938,Beijing Jianlong Investment Co Ltd; Hiap Teck Venture Bhd; unknown,E100000000155; E100000130720; E100000132388,"Lot 6293 & 6294, Teluk Kalung Industrial Estate, 24000 Kemaman, Terengganu Darul Iman, Malaysia",Kemaman,Terengganu,Malaysia,South-Eastern Asia,"4.2850620, 103.4325510",exact,11,announced,2300.0,,2011-12-01 00:00:00,,2015,,,,,4.285062,103.432551,POINT (103.432551 4.285062),,0,,,,,
