,GEM Plant ID,GEM Asset name (English),Asset name (other language),Alternative asset name(s),SFI ID,LeadIT Project ID,Coordinates,Coordinate accuracy,GEM wiki page,Municipality,Subnational unit,Country/Area,Cement Capacity (millions metric tonnes per annum),Clinker Capacity (millions metric tonnes per annum),Majority Cement Type,Cement Color,Operating status,Start date,Owner name (English),Owner name (other language),Owner Entity ID,Parent,Parent Entity ID,Plant type,Production type,CCS/CCUS,Alternative Fuel,Clay Calcination,Alternative_to_reduce_GHG,Region,latitude,longitude,geometry,climactor_id,GDAM_id,entity_type,GID_1,which_boundaries,within_target_boundaries,GID,GID_2,GID_3,GID_4,GID_5
2393,P100000127594,Nookat Cement Plant,,,,,"40.264017, 72.618004",approximate,https://www.gem.wiki/Nookat_Cement_Plant,Nookat,Osh,Kyrgyzstan,1.3,,,,announced,,Standard Cement LLP [100.0%],,E100002015796 [100.0%],Ontustik Financial Trade Industrial Corporation LLP [100.0%],E100002015797 [100.0%],,,,,,0,Central Asia,40.264017,72.618004,POINT (72.618004 40.264017),,,,,,0,,,,,
2394,P100000124738,Khammouance Cement Mahaxay Cement Plant,,,GACTLAO0001,,"17.404228, 105.217247",exact,https://www.gem.wiki/Khammouance_Cement_Mahaxay_Cement_Plant,Mahaxay,Khammouane,Laos,1.8,,,,operating,2017,Khammouane Cement Co Ltd [100.0%],,E100002006982 [100.0%],Siam Cement PCL [100.0%],E100001000930 [100.0%],integrated,dry,,,,0,South-Eastern Asia,17.404228,105.217247,POINT (105.217247 17.404228),,,,,,0,,,,,
2395,P100000124739,Lao Cement Vang Vieng I Cement Plant,,,GACTLAO0002,,"18.879813, 102.482999",exact,https://www.gem.wiki/Lao_Cement_Vang_Vieng_I_Cement_Plant,Khan Mak,Vientiane,Laos,0.3,0.08395,,,retired,1995,Lao Cement PCL [100.0%],,E100002007080 [100.0%],Yunnan Qianhan Technology Network Ltd [35.0%]; Lao Holding State Enterprise [34.0%]; small shareholder(s) [31.0%],E100002007081 [35.0%]; E100000120764 [34.0%]; E100001015587 [31.0%],integrated,dry,,,,0,South-Eastern Asia,18.879813,102.482999,POINT (102.482999 18.879813),,,,,,0,,,,,
2396,P100000124740,Lao Cement Ban Nadou Cement Plant,,,GACTLAO0003,,"17.455261, 104.992990",exact,https://www.gem.wiki/Lao_Cement_Ban_Nadou_Cement_Plant,Ban Nadou,Khammouane,Laos,1.9,,,,operating,,Lao Cement PCL [100.0%],,E100002007080 [100.0%],Yunnan Qianhan Technology Network Ltd [35.0%]; Lao Holding State Enterprise [34.0%]; small shareholder(s) [31.0%],E100002007081 [35.0%]; E100000120764 [34.0%]; E100001015587 [31.0%],integrated,dry,,,,0,South-Eastern Asia,17.455261,104.99299,POINT (104.99299 17.455261),,,,,,0,,,,,
2397,P100000124741,Zhongyayici Salavan Cement Plant,,,GACTLAO0004,,"15.876415, 106.374667",exact,https://www.gem.wiki/Zhongyayici_Salavan_Cement_Plant,Ban Yon,Salavan,Laos,0.5,,,,operating,1994,Zhongyayici Company [100.0%],,E100002005785 [100.0%],Zhongyayici Company [100.0%],E100002005785 [100.0%],integrated,dry,,,,0,South-Eastern Asia,15.876415,106.374667,POINT (106.374667 15.876415),,,,,,0,,,,,
2398,P100000124742,Lao Cement Vang Vieng II Cement Plant,,,GACTLAO0005,,"18.873072, 102.488023",exact,https://www.gem.wiki/Lao_Cement_Vang_Vieng_II_Cement_Plant,Khan Mak,Vientiane,Laos,1.1,0.2847,,,retired,2002,Lao Cement PCL [100.0%],,E100002007080 [100.0%],Yunnan Qianhan Technology Network Ltd [35.0%]; Lao Holding State Enterprise [34.0%]; small shareholder(s) [31.0%],E100002007081 [35.0%]; E100000120764 [34.0%]; E100001015587 [31.0%],integrated,dry,,,,0,South-Eastern Asia,18.873072,102.488023,POINT (102.488023 18.873072),,,,,,0,,,,,
2399,P100000124743,Conch Luang Prabang Cement Plant I,,,GACTLAO0006,,"20.486883, 102.371230",exact,https://www.gem.wiki/Conch_Luang_Prabang_Cement_Plant_I,Nam Thouam,Luang Prabang,Laos,0.1,,,,operating,,Luang Prabang Conch Cement Co [100.0%],,E100002007132 [100.0%],Anhui Conch Cement Co Ltd [unknown%],E100000179513 [unknown%],integrated,dry,,,,0,South-Eastern Asia,20.486883,102.37123,POINT (102.37123 20.486883),,,,,,0,,,,,
2400,P100000124744,Lanexang Cement Khoun Ngeun Cement Plant,,,,,"18.142705, 104.473578",exact,https://www.gem.wiki/Lanexang_Cement_Khoun_Ngeun_Cement_Plant,Khoun Kham,Khammouane,Laos,1,,,,operating,2015,Lane Xang Lao Cement Co [100.0%],,E100002007077 [100.0%],Lane Xang Lao Cement Co [100.0%],E100002007077 [100.0%],integrated,dry,,,,0,South-Eastern Asia,18.142705,104.473578,POINT (104.473578 18.142705),,,,,,0,,,,,
2401,P100000124745,Lao Cement Vang Vieng III Cement Plant,,,,,"18.881931, 102.480070",exact,https://www.gem.wiki/Lao_Cement_Vang_Vieng_III_Cement_Plant,Khan Mak,Vientiane,Laos,1,0.9125,,,operating,2014,Lao Cement PCL [100.0%],,E100002007080 [100.0%],Yunnan Qianhan Technology Network Ltd [35.0%]; Lao Holding State Enterprise [34.0%]; small shareholder(s) [31.0%],E100002007081 [35.0%]; E100000120764 [34.0%]; E100001015587 [31.0%],integrated,,,,,0,South-Eastern Asia,18.881931,102.48007,POINT (102.48007 18.881931),,,,,,0,,,,,
2402,P100000124746,Conch Luang Prabang Cement Plant III,,,,,"19.996197, 102.374181",exact,https://www.gem.wiki/Conch_Luang_Prabang_Cement_Plant_III,Luang Prabang,Luang Prabang,Laos,1,0.9125,,,operating,2019,Luang Prabang Conch Cement Co [100.0%],,E100002007132 [100.0%],Anhui Conch Cement Co Ltd [unknown%],E100000179513 [unknown%],integrated,,,,,0,South-Eastern Asia,19.996197,102.374181,POINT (102.374181 19.996197),,,,,,0,,,,,
