"iso","entity_type","climactor_id","baseline_value","baseline_year","inv_year","total_emissions","target_year","target_value","target_record","GDAM_id"
"USA","City","029eabf67f9ddbc6",3659901,2021,2012,5492514,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"USA","City","029eabf67f9ddbc6",3659901,2021,2020,3760196,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"ESP","City","02a0016805f6b99d",69799.49,2007,2007,71531.6,2030,40,"02a0016805f6b99d_2030","ESP.10.03.03050"
"ESP","City","02a0016805f6b99d",69799.49,2007,2016,37727.9,2030,40,"02a0016805f6b99d_2030","ESP.10.03.03050"
"ITA","City","02e33035caf0772e",11740,2011,2011,11740,2030,33,"02e33035caf0772e_2030","ITA.19.86.020"
"BEL","City","02fb7b0f131438eb",26431,2006,2006,26431,2030,40,"02fb7b0f131438eb_2030","BEL.3.3.3.23_1"
"BEL","City","02fb7b0f131438eb",26431,2006,2018,23337.4,2030,40,"02fb7b0f131438eb_2030","BEL.3.3.3.23_1"
"USA","City","03048595876071a3",149094,2005,NA,NA,2035,30,"03048595876071a3_2035","USA.5.7.1600000US0621796"
"ESP","City","030a8ebe8100aa23",5242.4,2005,2005,5242.4,2030,40,"030a8ebe8100aa23_2030","ESP.04.07.07034"
"ESP","City","030a8ebe8100aa23",5242.4,2005,2017,6181.4,2030,40,"030a8ebe8100aa23_2030","ESP.04.07.07034"
"BEL","City","0333eedeaf7d2735",108707.2,2011,2011,108707.2,2030,40,"0333eedeaf7d2735_2030","BEL.2.2.2.14_1"
"BEL","City","0333eedeaf7d2735",108707.2,2011,2020,90038.5,2030,40,"0333eedeaf7d2735_2030","BEL.2.2.2.14_1"
"ITA","City","0342d055df769e0e",100759.9,2012,2012,100759.9,2030,50,"0342d055df769e0e_2030","ITA.8.39.016"
"ITA","City","0342d055df769e0e",100759.9,2012,2019,70380.9,2030,50,"0342d055df769e0e_2030","ITA.8.39.016"
"ITA","City","0342d055df769e0e",100759.9,2012,2012,100759.9,2050,100,"0342d055df769e0e_2050","ITA.8.39.016"
"ITA","City","0342d055df769e0e",100759.9,2012,2019,70380.9,2050,100,"0342d055df769e0e_2050","ITA.8.39.016"
"ESP","Region","03460d517fb29aa9",29013483,1990,2021,19096905,2050,100,"03460d517fb29aa9_2050","ESP.12"
"CHN","SubRegion","034c904116096eb0",72140000,2021,2019,49410270,2060,100,"034c904116096eb0_2060","CHN.37.216"
"CHN","SubRegion","034c904116096eb0",72140000,2021,2021,72140000,2060,100,"034c904116096eb0_2060","CHN.37.216"
"CHN","SubRegion","034c904116096eb0",72140000,2021,2021,7e+07,2060,100,"034c904116096eb0_2060","CHN.37.216"
"ESP","City","035f53352a9bf689",28022,2017,2017,28022,2030,40,"035f53352a9bf689_2030","ESP.12.15.15013"
"ESP","City","035f53352a9bf689",28022,2017,2021,24112,2030,40,"035f53352a9bf689_2030","ESP.12.15.15013"
"ROU","SubRegion","036e704d4d853400",325303,2008,2008,325987.1,2030,40,"036e704d4d853400_2030","ROU.387.167473"
"ESP","City","038131c124d2436a",24551,2017,2017,24551,2030,40,"038131c124d2436a_2030","ESP.12.15.15008"
"ESP","City","03ba1bb22c207301",14917.61,2005,NA,NA,2030,28,"03ba1bb22c207301_2030","ESP.09.08.08204"
"ESP","City","03ca0527fd83ca6c",972.3,2005,2005,897.7,2030,40,"03ca0527fd83ca6c_2030","ESP.09.25.25910"
"ESP","City","03ca0527fd83ca6c",972.3,2005,2012,641.2,2030,40,"03ca0527fd83ca6c_2030","ESP.09.25.25910"
"ESP","City","03ca0527fd83ca6c",972.3,2005,2019,627.9,2030,40,"03ca0527fd83ca6c_2030","ESP.09.25.25910"
"ESP","City","03ca0527fd83ca6c",972.3,2005,2005,972.3,2030,40,"03ca0527fd83ca6c_2030","ESP.09.25.25910"
"ESP","City","03ca0527fd83ca6c",972.3,2005,2019,567,2030,40,"03ca0527fd83ca6c_2030","ESP.09.25.25910"
"JPN","SubRegion","03f6a96b43a9cc31",28345000,2013,NA,NA,2030,47,"03f6a96b43a9cc31_2030","JPN.47.1484"
"CRI","SubRegion","03f8319367c7553d",118859.92,2017,2021,170421.24,2030,55,"03f8319367c7553d_2030","CRI.2.5_1"
"CRI","SubRegion","03f8319367c7553d",118859.92,2017,2017,118859.92,2030,55,"03f8319367c7553d_2030","CRI.2.5_1"
"PRT","SubRegion","040f7c5335cd3aad",660625,2005,2021,420549,2030,55,"040f7c5335cd3aad_2030","PRT.12.6_1"
"PRT","SubRegion","040f7c5335cd3aad",660625,2005,2005,948778.6,2030,55,"040f7c5335cd3aad_2030","PRT.12.6_1"
"PRT","SubRegion","040f7c5335cd3aad",660625,2005,2005,660625,2030,55,"040f7c5335cd3aad_2030","PRT.12.6_1"
"PRT","SubRegion","040f7c5335cd3aad",660625,2005,2021,420549,2040,65,"040f7c5335cd3aad_2040","PRT.12.6_1"
"PRT","SubRegion","040f7c5335cd3aad",660625,2005,2005,948778.6,2040,65,"040f7c5335cd3aad_2040","PRT.12.6_1"
"PRT","SubRegion","040f7c5335cd3aad",660625,2005,2005,660625,2040,65,"040f7c5335cd3aad_2040","PRT.12.6_1"
"ITA","City","041211f342520b16",24770.3,2017,2017,24770.3,2030,40,"041211f342520b16_2030","ITA.19.81.013"
"HUN","City","0416c32234770482",7069.4,2018,2018,7069.4,2030,40,"0416c32234770482_2030","HUN.21.175.1266"
"HUN","City","0416c32234770482",7069.4,2018,2018,7069.4,2050,60,"0416c32234770482_2050","HUN.21.175.1266"
"DEU","SubRegion","044c480c753f87ce",5668450,2007,2007,5668450,2035,100,"044c480c753f87ce_2035","DEU.10.10_1"
"TUR","SubRegion","046acbe86237b7df",1714702.3,2010,2016,1509302,2030,40,"046acbe86237b7df_2030","TUR.54.373"
