iso,climactor_id,GDAM_id,baseline_value,baseline_year,target_year,target_value,target_year_emission,annualized_ambition
BRA,11122326bb5915d2,BRA.25.584_2,1061141.0,2012,2030,20.0,848912.8,0.010180447086978628
ITA,111c2a8a010dc53d,ITA.19.82.053,1875375.1,1990,2050,100.0,0.0,0.011619440301922523
ESP,111e4eddc006ab3c,ESP.09.17.17001,4370.9,2005,2030,25.0,3278.1749999999997,0.008965695270398477
ITA,115ef35b5e4743a6,ITA.20.90.069,46963.9,2010,2030,30.0,32874.729999999996,0.013204634466420062
AUS,116d7da0f4e85134,AUS.5.122_1,4115228.0,2021,2050,100.0,0.0,0.02418956024899721
CAN,1178d9e27e241e70,CAN.59.03,163625.0,2007,2050,100.0,0.0,0.016250325193551962
USA,11a22643e7e7c29a,USA.5.43.1600000US0643294,90000.0,2005,2025,30.0,62999.99999999999,0.013204634466420062
UKR,11d950a4f6965bd6,UKR.56.08.009,13878.5,2014,2030,33.7,9201.4455,0.018317513319002776
POL,11db707332e9a20d,POL.1.25_1,4099677.0,2020,2050,100.0,0.0,0.023373891996774976
ITA,11e90948f32cd367,ITA.19.84.027,47507.3,2011,2049,80.0,9501.46,0.01558831993655918
ESP,11ef47c3ace0be59,ESP.10.46.46036,1195.7,2010,2050,60.0,478.28000000000003,0.011819394222011281
GRC,1210299942d6f24a,GRC.5.1.46.12,472817.4,2012,2030,40.0,283690.44,0.018868708060818307
USA,1232f458598b3705,USA.19_1,188600448.390665,2021,2050,100.0,0.0,0.02418956024899721
DNK,123cd3ad1a3a4fe7,DNK.1.25_1,724160.0,2021,2025,100.0,0.0,0.18920711500272103
JPN,123cdcf65b2649b1,JPN.29.610,4920000.0,2013,2030,48.0,2558400.0,0.023329266972857754
ESP,12440a64a8d967ee,ESP.09.43.43103,6197.7,2005,2030,40.0,3718.62,0.01354986801622915
COL,12689ef40e0cb352,COL.2.69_2,3083424.0,2015,2050,100.0,0.0,0.020001609421198996
ESP,126f098eb1fc6905,ESP.12.27.27003,8844.8,2010,2030,40.0,5306.879999999999,0.01696592574647271
USA,1273fb82cd0669dd,USA.44.61.1600000US4819972,1529973.0,2018,2050,100.0,0.0,0.021897148654116627
ESP,127b9f5e9411ac7a,ESP.12.15.15085,16557.0,2010,2030,40.6,9834.858,0.01718340462275436
ESP,12801694f344fc4e,ESP.05.38.38028,89373.6,2015,2049,100.0,0.0,0.02059590957958668
ESP,12897ca9abc91535,ESP.09.43.43020,13832.8,2005,2030,30.0,9682.96,0.010549831729349979
ITA,129fa59247fe964a,ITA.8.38.006,84504.09,2010,2030,40.0,50702.454,0.01696592574647271
ITA,12ab77d9004b91ed,ITA.5.26.042,11037.73,2007,2050,29.0,7836.788299999999,0.005939481240329059
USA,12db94589d4483b2,USA.5.37.1600000US0672506,139216.0,2010,2035,50.0,69608.0,0.016350839811869022
HUN,12e4b4b94717d8fa,HUN.18.142.2023,9436.5,2018,2050,60.0,3774.6000000000004,0.014796006435927378
IND,12f582917bc5da92,IND.31.4.MC.1,4724910.05,2016,2024,25.0,3543682.5374999996,0.028285594297889682
JPN,13134f30551ec20d,JPN.1.1562,4191577.0,2020,2050,100.0,0.0,0.023373891996774976
JPN,1315aa9b3ad78252,JPN.25.1623,6842000.0,2020,2040,100.0,0.0,0.03526492384137758
ITA,133c9932ab52e16a,ITA.19.82.021,98867.3,2011,2030,40.0,59320.38,0.01786680031720378
ESP,13aa3369fd717821,ESP.12.36.36015,20792.0,2017,2030,40.0,12475.199999999999,0.026220339705550266
JPN,13b35a77c54426da,JPN.37.1270,3226000.0,2013,2030,46.0,1742040.0,0.02251059097922914
NLD,13be678de69ce598,NLD.5.7_2,1039975.6,2014,2035,95.0,51998.78000000004,0.032312466341355206
ESP,13d59490961712b5,ESP.10.46.46008,4710.0,2010,2049,50.0,2355.0,0.010450773046505324
ESP,13d9a905f67cc436,ESP.13.28.28079,7895800.0,2020,2050,100.0,0.0,0.023373891996774976
ITA,13f738e8ebade60a,ITA.8.35.014,79247.7,2011,2050,100.0,0.0,0.01793188433739057
ITA,13fa1044960ab9bb,ITA.20.90.049,5467.0,2008,2025,25.0,4100.25,0.013212616554775902
ESP,140805cbcd596ba8,ESP.10.46.46013,33919.7,2010,2050,60.0,13567.88,0.011819394222011281
GEO,1414aed1645ec6b9,GEO.5.8_1,155100.6,2014,2030,50.0,77550.3,0.0256653964664324
