,iso,entity_type,climactor_id,baseline_value,baseline_year,inv_year,target_year,target_value,target_record,GDAM_id,target_year_emission,annualised_ambition_from_baseline,annualised_ambition,2019_emissions_for_total_ambition,2030_emissions,absolute_ambition
3078,UKR,City,55df94cf90b5fb91,36699.3,2012,2012.0,2030,31.02,55df94cf90b5fb91_2030,UKR.51.06.003.001,25315.17714,0.01512320436658765,0.01512320436658765,32986.111124207004,25315.17714,7670.933984207004
3082,ESP,City,562342d787dfde16,19422.45,2005,2005.0,2030,40.0,562342d787dfde16_2030,ESP.09.17.17233,11653.47,0.01354986801622915,0.012654837579885836,16045.597936427142,11653.47,4392.127936427143
3085,ITA,City,56380a5555eaaae1,31417.6,2007,2018.0,2030,41.0,56380a5555eaaae1_2030,ITA.8.35.011,18536.384000000002,0.01505082263274704,0.017996815454920823,26190.203189353637,18536.384000000002,7653.819189353635
3086,ESP,City,563a955d4d16851f,20318.0,2010,2010.0,2030,40.0,563a955d4d16851f_2030,ESP.12.36.36901,12190.8,0.01696592574647271,0.01696592574647271,17417.992602220937,12190.8,5227.192602220937
3087,ESP,City,566196f7c5992191,2765.5,2005,2005.0,2030,21.0,566196f7c5992191_2030,ESP.09.17.17182,2184.745,0.007653957304240899,0.007653957304240899,2483.4627641898815,2184.745,298.71776418988156
3090,ITA,City,5677b31c9cc80233,14555.53,2011,2017.0,2030,40.0,5677b31c9cc80233_2030,ITA.19.83.086,8733.318,0.017866800317204,0.021767723239138004,12600.598103065024,8733.318,3867.2801030650244
3091,ESP,City,5696082ddc5135d4,2440.3,2007,2007.0,2030,30.0,5696082ddc5135d4_2030,ESP.12.32.32005,1708.21,0.01147245147239806,0.01147245147239806,2124.753444878937,1708.21,416.54344487893695
3093,ITA,City,56a4e7fd71e99a34,140503.4,2007,2011.0,2030,40.0,56a4e7fd71e99a34_2030,ITA.8.35.028,84302.04,0.014736758555106588,0.013140007763846828,117574.78602924175,84302.04,33272.74602924175
3095,BEL,City,56c0ff439fb09874,246965.0,2011,2020.0,2030,40.0,56c0ff439fb09874_2030,BEL.2.1.3.6_1,148179.0,0.01786680031720378,0.025146612378132094,213795.4928830114,148179.0,65616.49288301141
3099,ITA,City,56e23e284e41b7ec,11974.1,2011,2011.0,2030,40.0,56e23e284e41b7ec_2030,ITA.19.83.089,7184.46,0.01786680031720378,0.018102570664677797,10365.876182173453,7184.46,3181.4161821734533
